Date,Team 1,Team 2,Score 1,Score 2
20.02.24,Tallinna Kalev,KK Viimsi/Sportland,83,86
21.02.24,Pärnu Sadam,TalTech/OPTIBET,76,105
22.02.24,KK Viimsi/Sportland,Tallinna Kalev,79,80
23.02.24,KK Viimsi/Sportland,Pärnu Sadam,83,90
24.02.24,TalTech/OPTIBET,Tartu Ülikool Maks & Moorits,97,110
25.02.24,Avis Utilitas Rapla,TalTech/OPTIBET,98,107
26.02.24,TalTech/OPTIBET,Avis Utilitas Rapla,102,92
27.02.24,Tallinna Kalev,Tartu Ülikool Maks & Moorits,91,83
28.02.24,Tallinna Kalev,Tartu Ülikool Maks & Moorits,78,99
29.02.24,Pärnu Sadam,KK Viimsi/Sportland,78,108
01.03.24,Rakvere Tarvas,TalTech/OPTIBET,83,80
02.03.24,TalTech/OPTIBET,Tartu Ülikool Maks & Moorits,76,79
03.03.24,Rakvere Tarvas,Tallinna Kalev,75,81
04.03.24,TalTech/OPTIBET,Tartu Ülikool Maks & Moorits,75,94
05.03.24,Pärnu Sadam,Tallinna Kalev,93,78
06.03.24,Rakvere Tarvas,TalTech/OPTIBET,102,109
07.03.24,Avis Utilitas Rapla,Rakvere Tarvas,97,105
08.03.24,Tallinna Kalev,Tartu Ülikool Maks & Moorits,107,108
09.03.24,Tartu Ülikool Maks & Moorits,KK Viimsi/Sportland,97,101
10.03.24,Rakvere Tarvas,Tallinna Kalev,94,90
11.03.24,Pärnu Sadam,Tallinna Kalev,101,76
12.03.24,Avis Utilitas Rapla,Tartu Ülikool Maks & Moorits,89,76
13.03.24,Tallinna Kalev,KK Viimsi/Sportland,82,86
14.03.24,Tallinna Kalev,Avis Utilitas Rapla,77,89
15.03.24,KK Viimsi/Sportland,TalTech/OPTIBET,92,75
16.03.24,Avis Utilitas Rapla,Tartu Ülikool Maks & Moorits,110,94
17.03.24,TalTech/OPTIBET,Pärnu Sadam,106,86
18.03.24,Tartu Ülikool Maks & Moorits,Tallinna Kalev,94,89
19.03.24,Tallinna Kalev,Tartu Ülikool Maks & Moorits,77,92
20.03.24,Rakvere Tarvas,Avis Utilitas Rapla,83,78
21.03.24,Avis Utilitas Rapla,Tallinna Kalev,102,80
22.03.24,Pärnu Sadam,TalTech/OPTIBET,81,93
23.03.24,BC Kalev/Cramo,Rakvere Tarvas,107,107
24.03.24,KK Viimsi/Sportland,BC Kalev/Cramo,90,104
25.03.24,Tartu Ülikool Maks & Moorits,BC Kalev/Cramo,100,107
26.03.24,TalTech/OPTIBET,Avis Utilitas Rapla,85,94
27.03.24,Tallinna Kalev,Rakvere Tarvas,107,98
28.03.24,TalTech/OPTIBET,BC Kalev/Cramo,91,94
29.03.24,Pärnu Sadam,Tallinna Kalev,84,95
30.03.24,BC Kalev/Cramo,Pärnu Sadam,97,96
